JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455515.538,0.3,,,Vis.,KBA,K,12,38,A,THE SKY 2000 MASTER STAR CATALOG,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455515.728,0.2,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455516.39,0.3,,,Vis.,BQ,,0.1,1,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455516.5,0.2,,,Vis.,SGYO,,2,3,101116,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455517.976,0.2,,,Vis.,BJS,B,0.1,0.4,Citizen Sky,,,,Z,,,,ALF ORI,,STD,,,,
2455517.98,0.4,,,Vis.,CKB,,3,110,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455518.4,0.1,,,Vis.,SPAO,,3,,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455518.75,0.1,,,Vis.,HTN,,1,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455519.667,0.1,,,Vis.,SMDB,B,1,9,10 Star,,,,Z,,,,ALF ORI,,STD,,,,
2455519.803,0.1,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455520.388,0.3,,,Vis.,ILE,,0,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455520.842,0.5,,,Vis.,BBA,UB,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455522.253,0,,,Vis.,SSJA,K,1,9,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455523.784,0.4,,,Vis.,BBA,UB,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455524.667,0.4,,,Vis.,HDAA,B,1,21,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455524.694,0,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455524.8,0.7,,,Vis.,MOW,B,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455524.938,0.3,,,Vis.,SPEA,U,bet ori,kap ori,10star,Naked eye,,,Z,,,,ALF ORI,,STD,,,,
2455525.343,0.3,,,Vis.,ILE,,0,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455525.4,0.1,,,Vis.,SPAO,,3,,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455525.42,0.3,,,Vis.,BQ,BU,0.1,1,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455526.599,0.1,,,Vis.,SMDB,L,1,9,10 Star,,,,Z,,,,ALF ORI,,STD,,,,
2455526.742,0.2,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455527.384,0.4,,,Vis.,BVS,W,2,11,3342cig,Naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455527.438,0.2,,,Vis.,TTU,,0.08,"""0.18, 0.40, 0.87""",J,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455527.515,0,,,Vis.,SSJA,K,1,9,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455527.727,0.5,,,Vis.,CKB,,3,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455527.781,0.1,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455528.432,0.2,,,Vis.,MVO,,4,,80101,,,,Z,,,,ALF ORI,URSA,STD,,,,
2455528.69,0.2,,,Vis.,DMA,,0.1,0.4,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455528.75,0.2,,,Vis.,DMPA,,1,4,10 star,,,,Z,,,,ALF ORI,,STD,,,,
2455529.715,0.2,,,Vis.,MDP,,1,4,10 star,soft focus,,,Z,,,,ALF ORI,RASC,STD,,,,
2455529.809,0.8,,,Vis.,KSP,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455530.372,0.5,,,Vis.,STF,,,,110.01,not rec.,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2455530.395,0.75,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455530.653,0.9,,,Vis.,KGT,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455531.41,0.4,,,Vis.,BQ,W,0.1,1,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455531.5,0.2,,,Vis.,BNW,,3,5,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455531.691,0.5,,,Vis.,PMB,,0.9,1.2,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455531.774,0.3,,,Vis.,STI,,0.1,0.8,Atlas,"""Comps=Alf Aur, Alf Tau""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455532.813,0.4,,,Vis.,DMA,,0.1,0.4,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455533.661,0.4,,,Vis.,SMDB,,1,9,10 Star,,,,Z,,,,ALF ORI,,STD,,,,
2455533.7,-0.1,,,Vis.,BBA,,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455533.8,0.4,,,Vis.,LZT,B,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455534.719,-0.1,,,Vis.,HTN,,1,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455534.846,0.8,,,Vis.,TMHA,,0.1,2.1,10star,Fist time of this star !,,,Z,,,,ALF ORI,,STD,,,,
2455534.917,0.5,,,Vis.,TMHA,,0.1,2.2,10star,my son first trial,,,Z,,,,ALF ORI,,STD,,,,
2455536.412,0.6,,,Vis.,STF,,,,110.01,not rec.,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2455536.7,0.5,,,Vis.,SWV,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455536.753,0.1,,,Vis.,SPEA,U,bet ori,kap ori,10star,Naked eye,,,Z,,,,ALF ORI,,STD,,,,
2455537.333,0.3,,,Vis.,TTU,,0.08,"""0.18, 0.40""",J,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455537.413,0.3,,,Vis.,SSHA,,1,4,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455538.7,0.8,,,Vis.,MOW,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455538.708,0.1,,,Vis.,BBA,,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
